Curtis Jones,England,Midfielder,185cm,30/01/2001(21)
Jonny,Spain,Defender,175cm,03/03/1994(28)
Jorginho,Italy,Midfielder,180cm,20/12/1991(30)
Jos S,Portugal,Goalkeeper,192cm,17/01/1993(29)
James Justin,England,Defender,183cm,23/02/1998(24)
Ozan Kabak,Turkey,Defender,186cm,25/03/2000(22)
Christian Kabasele,Belgium,Defender,187cm,24/02/1991(31)
Lovre Kalinic,Croatia,Goalkeeper,201cm,03/04/1990
Samuel Kalu,Nigeria,Forward,176cm,26/08/1997(24)
Abu Kamara,England,Defender,,
Harry Kane,England,Forward,188cm,28/07/1993(28)
N'Golo Kant,France,Midfielder,168cm,29/03/1991(31)
Michal Karbownik,Poland,Defender,,13/03/2001
Loris Karius,Germany,Goalkeeper,189cm,22/06/1993(28)
Hayao Kawabe,Japan,Midfielder,178cm,08/09/1995
Edo Kayembe,DR Congo,Midfielder,183cm,03/06/1998(23)
Kayky,Brazil,Forward,175cm,11/06/2003(18)
Moise Kean,Italy,Forward,183cm,28/02/2000
Michael Keane,England,Defender,191cm,11/01/1993(29)
Naby Keta,Guinea,Midfielder,172cm,10/02/1995(27)
Caoimhin Kelleher,Ireland,Goalkeeper,178cm,23/11/1998(23)
Martin Kelly,England,Defender,191cm,27/04/1990(31)
Kenedy,Brazil,Forward,182cm,08/02/1996(26)
Nohan Kenneh,England,Midfielder,,10/01/2003(19)
Jonjoe Kenny,England,Defender,176cm,15/03/1997(25)
Reda Khadra,Germany,Midfielder,,04/07/2001
Kiko Casilla,Spain,Goalkeeper,190cm,02/10/1986
Maximilian Kilman,England,Defender,,23/05/1997(24)
Joshua King,Norway,Forward,180cm,15/01/1992(30)
Nya Kirby,England,Midfielder,174cm,31/01/2000
Kristoffer Klaesson,Norway,Goalkeeper,189cm,27/11/2000(21)
Mateusz Klich,Poland,Midfielder,183cm,13/06/1990(31)
Timm Klose,Switzerland,Defender,193cm,09/05/1988
Josh Knight,England,Defender,185cm,07/09/1997
Robin Koch,Germany,Defender,192cm,17/07/1996(25)
Sead Kolasinac,Bosnia & Herzegovina,Defender,183cm,20/06/1993
Ibrahima Konat,France,Defender,194cm,25/05/1999(22)
